"INDIC","Indicator","LOCATION","Country","CPL_COUNTRY","Country currency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPL","Comparative price levels","ESP","Spain","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,82,,
"CPL","Comparative price levels","SWE","Sweden","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,108,,
"CPL","Comparative price levels","CHE","Switzerland","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,132,,
"CPL","Comparative price levels","TUR","Turkey","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,45,,
"CPL","Comparative price levels","GBR","United Kingdom","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,103,,
"CPL","Comparative price levels","USA","United States","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,92,,
"CPL","Comparative price levels","CHL","Chile","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,70,,
"CPL","Comparative price levels","EST","Estonia","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,69,,
"CPL","Comparative price levels","ISR","Israel","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,115,,
"CPL","Comparative price levels","SVN","Slovenia","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,74,,
"CPL","Comparative price levels","AUS","Australia","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,169,,
"CPL","Comparative price levels","AUT","Austria","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,137,,
"CPL","Comparative price levels","BEL","Belgium","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,142,,
"CPL","Comparative price levels","CAN","Canada","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,144,,
"CPL","Comparative price levels","CZE","Czech Republic","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,91,,
"CPL","Comparative price levels","DNK","Denmark","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,179,,
"CPL","Comparative price levels","FIN","Finland","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,154,,
"CPL","Comparative price levels","FRA","France","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,138,,
"CPL","Comparative price levels","DEU","Germany","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,133,,
"CPL","Comparative price levels","GRC","Greece","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,106,,
"CPL","Comparative price levels","HUN","Hungary","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,78,,
"CPL","Comparative price levels","ISL","Iceland","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,207,,
"CPL","Comparative price levels","IRL","Ireland","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,155,,
"CPL","Comparative price levels","ITA","Italy","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,129,,
"CPL","Comparative price levels","JPN","Japan","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,126,,
"CPL","Comparative price levels","KOR","Korea","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,124,,
"CPL","Comparative price levels","LUX","Luxembourg","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,160,,
"CPL","Comparative price levels","MEX","Mexico","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,75,,
"CPL","Comparative price levels","NLD","Netherlands","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,142,,
"CPL","Comparative price levels","NZL","New Zealand","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,157,,
"CPL","Comparative price levels","NOR","Norway","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,175,,
"CPL","Comparative price levels","POL","Poland","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,73,,
"CPL","Comparative price levels","PRT","Portugal","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,107,,
"CPL","Comparative price levels","SVK","Slovak Republic","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,88,,
"CPL","Comparative price levels","ESP","Spain","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,118,,
"CPL","Comparative price levels","SWE","Sweden","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,156,,
"CPL","Comparative price levels","CHE","Switzerland","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,190,,
"CPL","Comparative price levels","TUR","Turkey","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,64,,
"CPL","Comparative price levels","GBR","United Kingdom","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,148,,
"CPL","Comparative price levels","USA","United States","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,133,,
"CPL","Comparative price levels","CHL","Chile","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,100,,
"CPL","Comparative price levels","EST","Estonia","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,99,,
"CPL","Comparative price levels","ISR","Israel","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,166,,
"CPL","Comparative price levels","SVN","Slovenia","CHL","Chile CLP","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,107,,
"CPL","Comparative price levels","AUS","Australia","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,185,,
"CPL","Comparative price levels","AUT","Austria","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,150,,
"CPL","Comparative price levels","BEL","Belgium","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,155,,
"CPL","Comparative price levels","CAN","Canada","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,158,,
"CPL","Comparative price levels","CZE","Czech Republic","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,100,,
"CPL","Comparative price levels","DNK","Denmark","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,196,,
"CPL","Comparative price levels","FIN","Finland","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,169,,
